sku,name,nature,category,brand,sale_price,location,min_stock,barcode,unit,notes
730821600515,FreshLook Colorblends Honey -0.00,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,variante en ASUNCION (PC - Inventario.xlsx fila 7526): Freshlook Colorblend Honey -0.00 || origen: ASUNCION=PC - Inventario.xlsx#7526@2026-08-03 | PILAR=P2 - Inventario.xlsx#944@2026-08-10
730821690646,FreshLook Colorblends PureHazel,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,variante en PILAR (P2 - Inventario.xlsx fila 893): FRESHLOOK PURE HAZEL || origen: ASUNCION=PC - Inventario.xlsx#7714@2026-08-03 | PILAR=P2 - Inventario.xlsx#893@2026-08-10
730821690738,FreshLook Colorblends PureHazel -2.25,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#939@2026-08-10
733905562600,ACUVUE OASYS -0.50,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7780@2026-08-03
733905562617,Acuvue Oasys -0.75,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7652@2026-08-03
733905562624,Acuvue Oasys -1.00,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7649@2026-08-03
733905562631,Acuvue Oasys -1.25,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7650@2026-08-03
733905562648,Acuvue Oasys -1.50,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7648@2026-08-03
733905562655,Acuvue Oasys -1.75,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7651@2026-08-03
733905562716,Acuvue Oasys -2.00,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7718@2026-08-03
733905562723,Acuvue Oasys -2.25,PRODUCTO_STOCKEABLE,Lente de contacto,Acuvue Oasys,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7660@2026-08-03
